Dimension-x,Dimension-y,labels
0.220387,0.873992,1.000000
0.181101,0.758630,2.000000
0.201212,0.344854,3.000000
0.232414,0.094299,4.000000
0.530204,0.251067,5.000000
0.584401,0.315417,6.000000
0.763285,0.451242,7.000000
0.760914,0.761115,8.000000
0.637162,0.882997,9.000000
0.857075,0.783301,10.000000
0.304890,0.754687,1.000000
0.163725,0.779247,2.000000
0.227409,0.307553,3.000000
0.214371,0.164196,4.000000
0.552472,0.290556,5.000000
0.541264,0.397123,6.000000
0.606643,0.538988,7.000000
0.766712,0.798852,8.000000
0.557481,0.851119,9.000000
0.904617,0.830014,10.000000
0.245681,0.843768,1.000000
0.116837,0.720494,2.000000
0.117077,0.310789,3.000000
0.238870,0.157322,4.000000
0.477328,0.270534,5.000000
0.642878,0.335687,6.000000
0.742614,0.553280,7.000000
0.743695,0.784812,8.000000
0.645646,0.886029,9.000000
0.953998,0.847150,10.000000
0.193911,0.876372,1.000000
0.154083,0.738117,2.000000
0.135464,0.318282,3.000000
0.197144,0.131710,4.000000
0.549392,0.308917,5.000000
0.662676,0.416323,6.000000
0.722458,0.572898,7.000000
0.812387,0.853669,8.000000
0.681138,0.828847,9.000000
0.895342,0.905503,10.000000
0.255630,0.785440,1.000000
0.137826,0.711349,2.000000
0.186482,0.315042,3.000000
0.215227,0.077781,4.000000
0.432689,0.251765,5.000000
0.680294,0.411253,6.000000
0.651275,0.544856,7.000000
0.747509,0.850818,8.000000
0.641283,0.858739,9.000000
0.859273,0.904975,10.000000
0.255434,0.754448,1.000000
0.093929,0.762495,2.000000
0.187218,0.327859,3.000000
0.147547,0.066917,4.000000
0.498670,0.284418,5.000000
0.635945,0.352340,6.000000
0.630606,0.545375,7.000000
0.836035,0.749276,8.000000
0.598285,0.929116,9.000000
0.948912,0.868018,10.000000
0.197071,0.875953,1.000000
0.084701,0.777116,2.000000
0.212800,0.335952,3.000000
0.105855,0.047388,4.000000
0.472237,0.283972,5.000000
0.651461,0.423271,6.000000
0.615670,0.505353,7.000000
0.816067,0.786192,8.000000
0.695936,0.906550,9.000000
0.955858,0.919216,10.000000
0.277576,0.843144,1.000000
0.081148,0.755309,2.000000
0.174114,0.226293,3.000000
0.241089,0.135231,4.000000
0.463914,0.251688,5.000000
0.610860,0.321892,6.000000
0.647327,0.561826,7.000000
0.746697,0.741485,8.000000
0.569300,0.937680,9.000000
0.915372,0.893941,10.000000
0.277611,0.759616,1.000000
0.065963,0.747998,2.000000
0.176958,0.251312,3.000000
0.192965,0.128413,4.000000
0.423028,0.285370,5.000000
0.603283,0.307338,6.000000
0.730956,0.457184,7.000000
0.728498,0.836153,8.000000
0.594004,0.967797,9.000000
0.982048,0.772653,10.000000
0.305908,0.810528,1.000000
0.095960,0.814507,2.000000
0.126377,0.360601,3.000000
0.174310,0.176385,4.000000
0.395324,0.344297,5.000000
0.618621,0.296247,6.000000
0.684194,0.477397,7.000000
0.836476,0.780952,8.000000
0.607112,0.866610,9.000000
0.822979,0.836166,10.000000
0.327991,0.782330,1.000000
0.162734,0.708575,2.000000
0.137546,0.247427,3.000000
0.110874,0.052620,4.000000
0.420098,0.253318,5.000000
0.635202,0.299361,6.000000
0.605482,0.460113,7.000000
0.770176,0.783811,8.000000
0.596707,0.961731,9.000000
0.900659,0.904903,10.000000
0.230519,0.715514,1.000000
0.043073,0.748939,2.000000
0.114733,0.222218,3.000000
0.107742,0.114268,4.000000
0.472793,0.268595,5.000000
0.591487,0.394906,6.000000
0.605650,0.521703,7.000000
0.767566,0.844764,8.000000
0.637195,0.834686,9.000000
0.980161,0.805042,10.000000
0.271752,0.732224,1.000000
0.129653,0.685813,2.000000
0.126797,0.213835,3.000000
0.226533,0.153931,4.000000
0.504959,0.249877,5.000000
0.637018,0.336573,6.000000
0.707020,0.561656,7.000000
0.819677,0.809480,8.000000
0.566844,0.896230,9.000000
0.860301,0.825264,10.000000
0.256719,0.737854,1.000000
0.066726,0.781211,2.000000
0.151288,0.249061,3.000000
0.132503,0.167270,4.000000
0.472212,0.330454,5.000000
0.654984,0.325963,6.000000
0.770254,0.554403,7.000000
0.833128,0.734439,8.000000
0.689987,0.915206,9.000000
0.948059,0.891408,10.000000
0.233276,0.741736,1.000000
0.164115,0.663235,2.000000
0.093532,0.293179,3.000000
0.138161,0.035779,4.000000
0.490203,0.231466,5.000000
0.543937,0.288017,6.000000
0.743743,0.578614,7.000000
0.705354,0.856084,8.000000
0.586868,0.903442,9.000000
0.837729,0.805401,10.000000
0.308085,0.787675,1.000000
0.098346,0.707960,2.000000
0.134358,0.222242,3.000000
0.155789,0.109397,4.000000
0.462921,0.279704,5.000000
0.573438,0.409990,6.000000
0.677381,0.544981,7.000000
0.800370,0.798052,8.000000
0.667602,0.899698,9.000000
0.865029,0.827375,10.000000
0.230371,0.803413,1.000000
0.076361,0.754234,2.000000
0.140159,0.268059,3.000000
0.131421,0.074669,4.000000
0.480563,0.318159,5.000000
0.591653,0.349808,6.000000
0.678914,0.468208,7.000000
0.782775,0.793433,8.000000
0.592087,0.905164,9.000000
0.918863,0.805052,10.000000
0.193206,0.760447,1.000000
0.167073,0.720276,2.000000
0.153311,0.197599,3.000000
0.122774,0.038450,4.000000
0.520914,0.304716,5.000000
0.548047,0.430640,6.000000
0.650149,0.571235,7.000000
0.716459,0.743325,8.000000
0.588377,0.969951,9.000000
0.848883,0.863021,10.000000
0.296215,0.773904,1.000000
0.068200,0.769090,2.000000
0.134007,0.322517,3.000000
0.231686,0.100962,4.000000
0.528200,0.236215,5.000000
0.602551,0.391356,6.000000
0.742619,0.480839,7.000000
0.787354,0.747160,8.000000
0.634921,0.854756,9.000000
0.881974,0.858414,10.000000
0.271871,0.800483,1.000000
0.146555,0.736875,2.000000
0.198124,0.233097,3.000000
0.137601,0.071865,4.000000
0.521143,0.232763,5.000000
0.579605,0.406235,6.000000
0.719495,0.510031,7.000000
0.797019,0.736938,8.000000
0.653735,0.940995,9.000000
0.896742,0.861101,10.000000
0.284564,0.705645,1.000000
0.119032,0.658050,2.000000
0.059602,0.259524,3.000000
0.136540,0.193511,4.000000
0.490049,0.254105,5.000000
0.648194,0.352186,6.000000
0.742003,0.566303,7.000000
0.791033,0.797179,8.000000
0.681851,0.845158,9.000000
0.854597,0.899884,10.000000
0.218162,0.753623,1.000000
0.136398,0.740408,2.000000
0.213121,0.308283,3.000000
0.160175,0.056864,4.000000
0.451876,0.208426,5.000000
0.604680,0.292157,6.000000
0.705433,0.442371,7.000000
0.718112,0.818815,8.000000
0.640916,0.898350,9.000000
0.932679,0.782496,10.000000
0.166937,0.888876,1.000000
0.014667,0.707508,2.000000
0.198353,0.275537,3.000000
0.112711,0.090099,4.000000
0.452560,0.360458,5.000000
0.657021,0.343522,6.000000
0.743908,0.442553,7.000000
0.786425,0.738219,8.000000
0.538982,0.834050,9.000000
0.845879,0.780775,10.000000
0.317684,0.816072,1.000000
0.089623,0.685462,2.000000
0.186745,0.263124,3.000000
0.222541,0.193358,4.000000
0.479061,0.351303,5.000000
0.636126,0.401054,6.000000
0.644517,0.513769,7.000000
0.843386,0.708002,8.000000
0.601148,0.856931,9.000000
0.964186,0.824749,10.000000
0.284813,0.784269,1.000000
0.033288,0.653762,2.000000
0.181676,0.215452,3.000000
0.249058,0.089277,4.000000
0.530601,0.278160,5.000000
0.705447,0.375087,6.000000
0.666014,0.399876,7.000000
0.681548,0.816505,8.000000
0.549791,0.873147,9.000000
0.963609,0.785869,10.000000
0.227155,0.805660,1.000000
0.170511,0.757097,2.000000
0.145714,0.340895,3.000000
0.228089,0.121493,4.000000
0.540031,0.292482,5.000000
0.600553,0.335929,6.000000
